31,68,69,2,1
30,68,67,8,1
27,75,74,6,1
35,70,73,9,1
33,73,66,4,1
25,66,67,6,1
27,75,72,10,1
33,72,73,7,1
33,72,70,1,1
29,73,66,5,1
30,71,75,8,1
28,75,65,10,1
35,65,71,7,1
27,67,74,5,1
31,75,75,3,1
30,70,74,4,1
31,72,73,3,1
35,71,67,6,1
32,73,71,3,1
33,68,75,7,1
26,74,67,10,1
27,74,73,10,1
25,75,65,4,1
28,66,70,4,1
32,68,66,1,1
25,72,73,1,1
28,72,75,3,1
29,74,68,5,1
33,72,67,8,1
26,70,73,1,1
31,72,65,4,1
33,71,70,7,1
30,73,67,8,1
28,71,68,3,1
33,65,67,4,1
25,65,70,3,1
28,69,73,6,1
35,73,69,10,1
32,66,67,8,1
31,65,66,10,1
30,69,69,5,1
33,73,71,5,1
35,71,72,2,1
31,75,75,9,1
30,68,68,10,1
26,75,71,9,1
26,71,75,5,1
26,71,74,9,1
25,75,74,10,1
26,67,73,8,1
32,67,65,8,1
35,67,74,9,1
34,73,70,9,1
33,68,65,6,1
33,74,69,10,1
32,66,71,7,1
31,72,67,8,1
25,72,66,6,1
34,68,72,3,1
27,68,68,3,1
32,73,75,2,1
30,68,75,2,1
28,67,67,5,1
29,68,74,7,1
28,65,74,8,1
31,65,69,6,1
34,74,66,1,1
35,75,74,9,1
32,73,72,7,1
33,66,70,9,1
26,71,65,9,1
31,71,74,6,1
25,77,81,16,2
21,83,76,17,2
21,76,76,18,2
21,76,85,20,2
22,78,79,15,2
20,83,84,20,2
20,83,82,18,2
20,79,78,16,2
20,77,82,17,2
25,75,77,12,2
22,78,78,10,2
22,79,84,10,2
22,80,83,20,2
22,83,78,15,2
25,77,82,20,2
20,81,78,14,2
21,83,82,20,2
24,76,75,19,2
20,76,83,20,2
24,75,82,13,2
25,85,77,19,2
22,83,82,18,2
20,85,84,12,2
21,78,79,10,2
20,76,78,14,2
24,82,75,11,2
24,75,83,13,2
22,76,84,13,2
25,77,80,11,2
21,83,81,19,2
23,81,85,11,2
20,75,79,16,2
20,85,79,10,2
25,84,84,20,2
22,78,85,15,2
24,79,82,18,2
24,83,75,12,2
21,83,83,19,2
23,84,76,15,2
25,81,77,18,2
25,79,79,15,2
25,77,82,15,2
22,78,80,20,2
20,83,76,20,2
23,76,75,14,2
21,84,78,18,2
25,77,75,14,2
20,79,83,11,2
24,84,82,15,2
22,79,78,11,2
23,79,75,19,2
22,85,80,15,2
22,75,77,10,2
25,79,81,19,2
22,83,85,14,2
23,78,75,11,2
20,84,80,15,2
22,81,80,18,2
24,81,85,12,2
23,77,79,13,2
24,80,77,17,2
24,84,80,16,2
20,77,77,14,2
22,78,76,14,2
21,77,79,18,2
25,83,82,14,2
23,81,83,13,2
20,85,80,19,2
25,76,77,12,2
24,82,82,11,2
20,85,76,11,2
22,82,76,16,2
40,86,58,49,3
40,94,56,38,3
35,88,60,26,3
38,95,65,42,3
38,89,60,50,3
35,87,64,45,3
35,85,55,49,3
40,86,65,49,3
40,93,60,26,3
40,95,59,27,3
39,93,61,44,3
37,91,55,42,3
35,85,56,35,3
40,89,56,43,3
40,87,64,44,3
39,86,58,26,3
37,85,63,39,3
40,91,60,36,3
39,89,55,28,3
35,90,58,35,3
38,93,62,46,3
39,85,59,43,3
39,93,65,30,3
40,93,64,26,3
35,85,61,41,3
36,93,64,28,3
37,94,61,36,3
36,91,57,36,3
39,90,59,26,3
36,88,61,30,3
37,93,61,48,3
35,88,65,36,3
35,92,58,40,3
37,90,63,48,3
37,95,61,47,3
36,88,64,50,3
36,85,63,27,3
37,92,65,40,3
39,87,59,48,3
37,86,65,37,3
40,95,58,32,3
38,87,58,39,3
38,87,59,48,3
36,86,64,29,3
36,88,60,36,3
39,95,59,36,3
37,90,55,30,3
36,86,57,36,3
37,85,57,40,3
39,89,64,49,3
35,91,63,30,3
39,88,61,41,3
39,93,64,41,3
36,93,56,30,3
39,89,61,27,3
38,87,65,25,3
40,91,59,43,3
38,92,59,34,3
38,89,65,34,3
40,92,63,30,3
37,94,55,28,3
35,92,62,45,3
40,85,57,38,3
36,95,57,36,3
36,86,56,34,3
39,86,64,37,3
38,85,63,39,3
37,88,61,36,3
40,94,58,47,3
36,85,63,42,3
37,86,60,28,3
38,86,55,29,3
17,61,91,50,4
16,59,94,68,4
16,58,94,83,4
13,60,91,74,4
17,65,86,54,4
11,61,85,74,4
20,57,93,98,4
20,55,88,83,4
14,57,93,51,4
15,61,91,83,4
10,58,87,71,4
11,60,91,94,4
13,64,95,55,4
18,55,90,59,4
10,60,89,88,4
12,64,93,99,4
14,58,94,55,4
10,61,94,67,4
15,64,92,87,4
11,57,87,81,4
13,57,85,96,4
11,58,95,97,4
14,57,95,56,4
14,55,87,90,4
10,59,87,61,4
18,65,95,82,4
15,61,89,82,4
15,56,85,59,4
20,57,89,59,4
18,61,88,73,4
15,59,95,76,4
16,57,91,83,4
10,62,85,68,4
20,59,90,70,4
17,65,87,55,4
20,59,88,82,4
12,62,88,79,4
14,63,88,86,4
14,62,88,62,4
18,60,88,89,4
13,63,95,78,4
14,56,91,82,4
15,57,87,82,4
12,57,92,69,4
15,62,94,87,4
11,56,86,90,4
14,61,89,87,4
15,61,88,65,4
6,50,53,228,5
5,45,52,204,5
10,49,54,146,5
6,53,54,121,5
7,45,46,249,5
9,55,53,215,5
10,48,48,249,5
9,55,48,222,5
10,46,55,136,5
7,50,47,189,5
10,53,55,216,5
10,50,51,182,5
7,51,53,105,5
7,46,45,172,5
5,47,46,191,5
5,54,53,176,5
9,55,51,112,5
10,48,50,212,5
8,53,49,239,5
6,50,51,165,5
6,53,53,228,5
5,54,45,143,5
8,47,54,172,5
9,46,49,242,5
10,49,47,110,5
5,47,45,117,5
6,47,55,155,5
9,48,54,121,5
8,46,49,106,5
6,53,47,226,5
10,52,51,104,5
8,54,55,239,5
7,51,53,140,5
6,46,55,142,5
5,48,53,183,5
6,47,55,124,5
9,52,52,142,5
10,46,52,177,5
10,51,45,113,5
6,53,54,208,5
10,48,51,222,5
7,50,45,112,5
8,54,53,228,5
7,46,52,121,5
9,47,52,222,5
6,51,48,225,5
5,45,48,182,5
7,47,47,114,5
5,51,51,140,5
8,52,48,233,5
7,50,46,104,5
8,53,49,183,5
9,49,55,247,5
7,53,55,166,5
7,53,50,193,5
10,54,50,132,5
10,51,55,162,5
6,55,50,187,5
8,51,45,168,5
6,52,51,186,5
6,47,45,221,5
9,48,47,228,5
6,50,51,215,5
8,50,46,233,5
10,48,51,181,5
10,53,50,129,5
8,48,52,244,5
9,51,52,160,5
8,46,47,154,5
10,54,46,109,5
9,49,55,109,5
7,50,45,106,5
